cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
15,12,2016-10-31,0,1,0,12,1.0,1.0
2,0,2016-11-07,0,1,0,0,1.0,1.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
2,1,2017-03-20,0,1,0,0,1.0,1.0
17,14,2017-03-27,0,5,0,0,1.0,1.0
29,29,2017-04-03,0,6,0,0,1.0,1.0
4,2,2017-04-10,0,2,0,0,1.0,1.0
2,1,2017-04-17,0,1,0,0,1.0,1.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
2,1,2017-05-08,0,1,0,0,1.0,1.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
3,0,2017-05-22,0,1,0,0,1.0,0.0
2,1,2017-05-29,0,1,0,0,1.0,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
2,1,2017-06-12,0,1,0,0,1.0,1.0
11,6,2017-06-19,0,1,0,6,1.0,1.0
4,4,2017-06-26,0,1,0,0,1.0,1.0
16,20,2017-07-03,0,3,0,0,1.0,1.0
24,40,2017-07-10,0,2,0,0,1.0,1.0
7,0,2017-07-17,0,1,0,0,1.0,1.0
3,2,2017-07-24,0,1,0,0,1.0,1.0
20,16,2017-07-31,0,3,0,12,1.0,1.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
11,10,2017-08-14,0,1,0,0,1.0,1.0
6,4,2017-08-21,0,1,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
7,6,2017-09-04,0,1,0,0,1.0,1.0
9,6,2017-09-11,0,2,0,0,1.0,1.0
4,4,2017-09-18,0,1,0,0,1.0,1.0
