cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2015-06-01,0,1,0,0,1.0,1.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
8,6,2015-07-06,0,1,0,0,1.0,0.5
20,7,2015-07-13,0,3,1,0,0.9,0.6666666666666666
10,11,2015-07-20,0,2,0,0,0.915,1.0
2,1,2015-07-27,0,1,0,0,1.0,1.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
20,17,2015-08-17,0,4,1,0,0.9575,0.6675
0,0,2015-08-24,0,0,0,0,0.0,0.0
5,0,2015-08-31,0,1,0,0,1.0,0.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
3,0,2015-09-21,0,1,0,0,1.0,0.0
