cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
28,40,2013-07-08,2,4,1,1,0.9175,0.9025
0,0,2013-07-15,0,0,0,0,0.0,0.0
9,8,2013-07-22,2,1,0,2,1.0,0.75
0,0,2013-07-29,0,0,0,0,0.0,0.0
7,2,2013-08-05,0,2,0,0,1.0,1.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
0,0,2013-08-19,0,0,0,0,0.0,0.0
6,4,2013-08-26,0,1,0,0,1.0,0.5
0,0,2013-09-02,0,0,0,0,0.0,0.0
2,0,2013-09-09,0,1,0,0,1.0,0.0
21,39,2013-09-16,3,2,1,2,0.46,0.915
0,0,2013-09-23,0,0,0,0,0.0,0.0
2,1,2013-09-30,0,1,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
6,1,2013-10-14,1,1,0,1,1.0,0.5
0,0,2013-10-21,0,0,0,0,0.0,0.0
16,11,2013-10-28,8,1,0,4,0.69,1.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
4,2,2014-01-20,0,1,0,0,0.6699999999999999,1.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
3,2,2014-04-07,0,1,0,0,1.0,1.0
2,0,2014-04-14,0,1,0,0,1.0,0.0
6,8,2014-04-21,0,1,0,0,1.0,1.0
2,1,2014-04-28,0,1,1,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
2,0,2014-06-02,0,1,0,0,1.0,1.0
