cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,0,2018-06-04,0,2,0,0,1.0,1.0
2,0,2018-06-11,0,1,0,0,1.0,1.0
6,1,2018-06-18,0,1,0,0,1.0,1.0
2,0,2018-06-25,0,1,0,0,1.0,1.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
0,0,2018-07-09,0,0,0,0,0.0,0.0
0,0,2018-07-16,0,0,0,0,0.0,0.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
2,0,2018-08-13,0,1,0,0,1.0,1.0
5,1,2018-08-20,0,2,0,0,1.0,1.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
0,0,2018-09-03,0,0,0,0,0.0,0.0
0,0,2018-09-10,0,0,0,0,0.0,0.0
2,0,2018-09-17,0,1,0,0,1.0,1.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
3,0,2018-10-08,0,1,0,0,1.0,1.0
4,0,2018-10-15,0,1,0,0,1.0,1.0
14,5,2018-10-22,0,5,0,0,1.0,1.0
5,2,2018-10-29,0,2,0,0,1.0,1.0
4,1,2018-11-05,0,2,0,0,1.0,1.0
2,0,2018-11-12,0,1,0,0,1.0,1.0
8,2,2018-11-19,0,3,0,0,1.0,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
6,2,2018-12-31,0,2,0,0,1.0,1.0
3,0,2019-01-07,0,1,0,0,1.0,1.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
0,0,2019-01-21,0,0,0,0,0.0,0.0
6,0,2019-01-28,0,2,0,0,1.0,1.0
