cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,0,2018-10-22,0,1,0,0,1.0,1.0
0,0,2018-10-29,0,0,0,0,0.0,0.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
9,0,2018-11-12,0,1,0,0,0.62,1.0
7,2,2018-11-19,1,2,0,2,0.585,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
2,1,2018-12-03,0,1,0,1,1.0,1.0
5,1,2018-12-10,0,2,0,1,0.5,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
2,0,2019-01-14,0,1,0,0,1.0,1.0
0,0,2019-01-21,0,0,0,0,0.0,0.0
3,2,2019-01-28,0,1,0,0,1.0,1.0
5,3,2019-02-04,0,1,0,3,1.0,1.0
3,0,2019-02-11,0,1,0,0,0.0,1.0
2,0,2019-02-18,0,1,0,0,1.0,1.0
4,1,2019-02-25,0,1,0,0,0.6699999999999999,1.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
0,0,2019-03-11,0,0,0,0,0.0,0.0
5,0,2019-03-18,0,2,0,0,0.5,1.0
2,0,2019-03-25,0,1,0,0,1.0,1.0
