cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
18,10,2018-10-22,0,4,0,0,1.0,1.0
2,1,2018-10-29,0,1,0,0,1.0,1.0
4,2,2018-11-05,0,1,0,0,0.5,1.0
3,2,2018-11-12,0,1,0,0,1.0,1.0
2,1,2018-11-19,0,1,0,1,1.0,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
12,8,2018-12-03,3,2,0,0,0.75,1.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
3,2,2019-01-21,0,1,0,2,1.0,1.0
0,0,2019-01-28,0,0,0,0,0.0,0.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
12,8,2019-02-11,0,1,0,0,0.7,1.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
2,0,2019-03-11,0,1,0,0,1.0,1.0
3,1,2019-03-18,0,1,0,0,1.0,1.0
6,2,2019-03-25,1,2,1,0,0.835,0.5
2,1,2019-04-01,0,1,0,0,1.0,1.0
